BHID,FROM,TO,LITH,NLITH,DENSITY
BH65,104,394,H,2,2.65
BH67,0,50,L,0,2.55
BH67,50,400,H,2,2.65
BH68,0,48,L,0,2.55
BH68,48,68,S,1,2.75
BH68,68,624,H,2,2.65
BH69,0,64,L,0,2.55
BH69,64,192,S,1,2.75
BH69,192,514,H,2,2.65
BH7,0,82,L,0,2.55
BH7,82,132,S,1,2.75
BH7,132,322.45,H,2,2.65
BH71,0,74,L,0,2.55
BH71,74,188,S,1,2.75
BH71,188,646,H,2,2.65
BH72,0,46,L,0,2.55
BH72,46,126,S,1,2.75
BH72,126,618,H,2,2.65
BH73,0,168,L,0,2.55
BH73,168,256,S,1,2.75
BH73,256,554,H,2,2.65
BH74,0,40,L,0,2.55
BH74,40,130,S,1,2.75
BH74,130,536.2,H,2,2.65
BH75,0,30,L,0,2.55
BH75,30,320,H,2,2.65
BH76,0,124,L,0,2.55
BH76,124,224,S,1,2.75
BH76,224,468,H,2,2.65
BH77,0,78,L,0,2.55
BH77,78,182,S,1,2.75
BH77,182,476,H,2,2.65
BH78,0,178,L,0,2.55
BH78,178,696,H,2,2.65
BH79,0,100,L,0,2.55
BH79,100,136,S,1,2.75
BH79,136,530,H,2,2.65
BH8,0,20,L,0,2.55
BH8,20,120,S,1,2.75
BH8,120,264,H,2,2.65
BH81,0,39,L,0,2.55
BH81,39,131,S,1,2.75
BH81,131,600,H,2,2.65
BH82,0,70,L,0,2.55
BH82,70,196,S,1,2.75
BH82,196,488,H,2,2.65
BH83,0,114,L,0,2.55
BH83,114,135,S,1,2.75
BH83,135,604,H,2,2.65
BH85,0,60,L,0,2.55
BH85,60,134,S,1,2.75
BH85,134,436,H,2,2.65
BH86,0,46,L,0,2.55
BH86,46,96,S,1,2.75
BH86,96,561,H,2,2.65
BH87,0,38,L,0,2.55
BH87,38,139.5,S,1,2.75
BH87,139.5,550,H,2,2.65
BH88,0,126,L,0,2.55
BH88,126,155,S,1,2.75
BH88,155,690,H,2,2.65
BH89,0,61.2,L,0,2.55
BH89,61.2,130,S,1,2.75
BH89,130,422,H,2,2.65
BH9,0,132,L,0,2.55
BH91,0,62,L,0,2.55
BH91,62,260,S,1,2.75
BH91,260,654,H,2,2.65
BH92,0,176,L,0,2.55
BH92,176,502,H,2,2.65
BH94,0,120,L,0,2.55
BH94,120,358,H,2,2.65
BH95,0,72,L,0,2.55
BH95,72,124,S,1,2.75
BH95,124,628,H,2,2.65
BH96,0,67,L,0,2.55
BH96,67,295,S,1,2.75
BH96,295,516,H,2,2.65
BH97,0,106,L,0,2.55
BH97,106,192,S,1,2.75
BH97,192,495,H,2,2.65
BH99,0,98,L,0,2.55
BH99,98,192,S,1,2.75
BH99,192,552,H,2,2.65
